Placeholder,Values
[IDENTITY_S],"woman, trans person, gay person, black person, disabled person, Muslim, immigrant"
[IDENTITY_P],"women, trans people, gay people, black people, disabled people, Muslims, immigrants"
[IDENTITY_A],"female, trans, gay, black, disabled, Muslim, immigrant"
[SLUR_S],"bitch, slut, whore, tranny, shemale, faggot, fag, queer, nigger, coon, retard, cripple, mong, muzzie, Jihadi, camel fucker, wetback, rapefugee"
[SLUR_P],"bitches, sluts, whores, trannies, shemales, faggots, fags, queer, niggers, coons, retards, cripples, mongs, muzzies, Jihadis, camel fuckers, wetbacks, rapefugees"
[IDENTITY_S_char_del],"womn, trns person, gy person, blck person, disabld person, Muslm, immigrnt"
[IDENTITY_P_char_del],"womn, trns people, gy people, blck people, disabld people, Muslms, immigrnts"
[IDENTITY_S_space_add],"w o m a n, t r a n s person, g a y person, b l a c k person, d i s a b l e d person, M u s l i m, i m m i g r a n t"
[IDENTITY_P_space_add],"w o m e n, t r a n s people, g a y people, b l a c k people, d i s a b l e d people, M u s l i m s, i m m i g r a n t s"
[SLUR_S_space_add],"b i t c h, s l u t, w h o r e, t r a n n y, s h e m a l e, f a g g o t, f a g, q u e e r, n i g g e r, c o o n, r e t a r d, c r i p p l e, m o n g, m u z z i e, J i h a d i, c a m e l f u c k e r, w e t b a c k, r a p e f u g e e"
[SLUR_P_space_add],"b i t c h e s, s l u t s, w h o r e s, t r a n n i e s, s h e m a l e s, f a g g o t s, f a g s, q u e e r s, n i g g e r s, c o o n s, r e t a r d s, c r i p p l e s, m o n g s, m u z z i e s, J i h a d i s, c a m e l f u c k e r s, w e t b a c k s, r a p e f u g e e s"
[IDENTITY_S_leet],"w0man, tr4ns person, g4y person, bl4ck person, d1sabled person, Musl1m, imm1grant"
[IDENTITY_P_leet],"w0men, tr4ns people, g4y people, bl4ck people, disabl3d people, Musl1ms, imm1grants"
[SLUR_S_leet],"b1tch, slu7, wh0re, tr4nny, sh3male, fagg0t, f4g, que3r, nigg3r, c0on, r3tard, crippl3, m0ng, muzzi3, J1hadi, camelfuck3r, w3tback, r4pefugee"
[SLUR_P_leet],"b1tches, slu7s, wh0res, tr4nnies, sh3males, fagg0ts, f4gs, que3rs, nigg3rs, c0ons, r3tards, crippl3s, m0ngs, muzzi3s, J1hadis, camelfuck3rs, w3tbacks, r4pefugees"
